,adjClose,change,changeOverTime,changePercent,close,date,high,label,low,open,unadjustedVolume,volume,vwap
621,116.03,1.42,0.011,1.1,130.72,2021-09-23,131.38,"September 23, 21",129.09,129.3,3151807,3151807,130.4
622,116.67,0.44,0.0033588,0.33588,131.44,2021-09-24,132.39,"September 24, 21",130.74,131.0,3100762,3100762,131.52
623,117.58,0.58,0.0043976,0.43976,132.47,2021-09-27,132.95,"September 27, 21",131.43,131.89,3459017,3459017,132.28
624,116.66,-1.63,-0.0123,-1.23,131.42,2021-09-28,133.55,"September 28, 21",131.18,133.05,4513072,4513072,132.05
625,118.11,1.39,0.0106,1.06,133.06,2021-09-29,133.78,"September 29, 21",130.44,131.67,3947499,3947499,132.43
626,117.89,-1.02,-0.007621,-0.7621,132.82,2021-09-30,134.39,"September 30, 21",132.41,133.84,6090230,6090230,133.21
627,121.62,2.22,0.0165,1.65,137.02,2021-10-01,137.64,"October 01, 21",134.2,134.8,6907889,6907889,136.28
628,122.29,1.31,0.0095999,0.95999,137.77,2021-10-04,139.58,"October 04, 21",136.09,136.46,7689251,7689251,137.81
629,121.48,-1.53,-0.0111,-1.11,136.85,2021-10-05,138.62,"October 05, 21",136.37,138.38,7297524,7297524,137.28
630,120.81,-0.11,-0.0008075765,-0.08075765,136.1,2021-10-06,137.07,"October 06, 21",134.69,136.21,5573506,5573506,135.95
631,120.34,-0.88,-0.0064492,-0.64492,135.57,2021-10-07,137.09,"October 07, 21",135.31,136.45,3999695,3999695,135.99
632,121.53,1.35,0.009958,0.9958,136.92,2021-10-08,137.33,"October 08, 21",134.85,135.57,3902940,3902940,136.37
633,120.86,-1.02,-0.0074349,-0.74349,136.17,2021-10-11,137.74,"October 11, 21",136.14,137.19,2921792,2921792,136.68
634,119.2,-1.67,-0.0123,-1.23,134.29,2021-10-12,136.04,"October 12, 21",134.13,135.96,3293436,3293436,134.82
635,119.45,0.23,0.0017121,0.17121,134.57,2021-10-13,135.19,"October 13, 21",133.52,134.34,3013003,3013003,134.43
636,121.68,2.24,0.0166,1.66,137.08,2021-10-14,137.59,"October 14, 21",134.81,134.84,4410668,4410668,136.49
637,122.71,1.17,0.0085352,0.85352,138.25,2021-10-15,138.48,"October 15, 21",136.51,137.08,3371049,3371049,137.75
638,120.77,-1.61,-0.0117,-1.17,136.06,2021-10-18,138.57,"October 18, 21",135.53,137.67,6437189,6437189,136.72
639,120.48,0.86,0.006376,0.6376,135.74,2021-10-19,136.65,"October 19, 21",134.34,134.88,4539117,4539117,135.58
